uniprot_id,Protein names,Gene names,Fasta headers,id,MCF10A_UT_1,MCF10A_UT_2,MCF10A_UT_3,MDA_MB_231_UT_1,MDA_MB_231_UT_2,MDA_MB_231_UT_3,HCC1937_UT_1,HCC1937_UT_2,HCC1937_UT_3,MCF10A_TR_1,MCF10A_TR_2,MCF10A_TR_3,MDA_MB_231_TR_1,MDA_MB_231_TR_2,MDA_MB_231_TR_3,HCC1937_TR_1,HCC1937_TR_2,HCC1937_TR_3
A0A024R7P0,DNA-binding protein RFXANK,RFXANK,tr|A0A024R7P0|A0A024R7P0_HUMAN DNA-binding protein RFXANK OS=Homo sapiens OX=9606 GN=RFXANK PE=1 SV=1;sp|O14593|RFXK_HUMAN DNA-binding protein RFXANK OS=Homo sapiens OX=9606 GN=RFXANK PE=1 SV=2;tr|H0YFZ0|H0YFZ0_HUMAN DNA-binding protein RFXANK (Fragment) O,13,7985.3,6631.3,4641.7,6326.7,7474.8,5802.8,10261,8863.5,7047.1,52334,35831,43278,24074,24542,23700,52000,47699,53886
A0A024RA52,Proteasome subunit alpha type;Proteasome subunit alpha type-2,PSMA2,tr|A0A024RA52|A0A024RA52_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=1;sp|P25787|PSA2_HUMAN Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2;tr|C9JCK5|C9JCK5_HUMAN Proteasome endopeptidase complex ,14,3630100,3029000,3059200,4009900,3160100,3529900,4175800,3597800,3665800,3719100,3014800,3039400,3742200,3231600,3299700,3569800,3693600,3671500
A0A024RAC6,,TCEB3,tr|A0A024RAC6|A0A024RAC6_HUMAN Elongin-A OS=Homo sapiens OX=9606 GN=ELOA PE=1 SV=1,15,1597000,1470300,1276200,1407300,1407500,1454100,1274500,1096900,1169000,1181800,829620,996970,1026800,1195600,1040100,742750,998350,770130
A0A024RBG1,,NUDT4,sp|A0A024RBG1|NUD4B_HUMAN Diphosphoinositol polyphosphate phosphohydrolase NUDT4B OS=Homo sapiens OX=9606 GN=NUDT4B PE=3 SV=1,16,0,0,0,0,0,0,0,0,0,16343,11518,14351,10349,8843.7,11239,13198,13213,15045
A0A024RBT2,"Diablo homolog, mitochondrial",DIABLO,"tr|A0A024RBT2|A0A024RBT2_HUMAN Diablo homolog, mitochondrial OS=Homo sapiens OX=9606 GN=DIABLO PE=1 SV=1;sp|Q9NR28|DBLOH_HUMAN Diablo homolog, mitochondrial OS=Homo sapiens OX=9606 GN=DIABLO PE=1 SV=1",17,1298500,1175300,978980,1233700,1202200,1339900,1006900,842690,870430,1143800,845720,902600,991140,986550,948350,828930,776490,801860
E9PRM7,Solute carrier family 22 member 18,SLC22A18,tr|E9PRM7|E9PRM7_HUMAN Solute carrier family 22 member 18 OS=Homo sapiens OX=9606 GN=SLC22A18 PE=1 SV=1;tr|A0A0J9YWM3|A0A0J9YWM3_HUMAN Solute carrier family 22 member 18 OS=Homo sapiens OX=9606 GN=SLC22A18 PE=1 SV=1;tr|A0A024RCG2|A0A024RCG2_HUMAN Solute ca,18,31820,24538,23938,11531,13960,10288,40263,38847,41695,176410,110750,154910,73178,64472,73343,201790,208720,209890
P46379,Large proline-rich protein BAG6,BAG6;BAT3,sp|P46379|BAG6_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=2;tr|A0A0G2JK23|A0A0G2JK23_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=1;tr|A0A024RCR6|A0A024RCR6_HUMAN HLA-B associated transcri,19,2002600,1865900,1746400,3587700,2903600,3231400,4259000,3759000,3681600,2113200,1638800,1803600,3105600,2986900,2872500,3775500,3736700,4015900
A0A044PY82,Uncharacterized protein LOC113230,LOC113230,tr|A0A044PY82|A0A044PY82_HUMAN Uncharacterized protein MISP3 OS=Homo sapiens OX=9606 GN=MISP3 PE=1 SV=1;sp|Q96FF7|MISP3_HUMAN Uncharacterized protein MISP3 OS=Homo sapiens OX=9606 GN=MISP3 PE=2 SV=4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A075B6E9,Leucine-rich repeat-containing protein 7,LRRC7,tr|A0A075B6E9|A0A075B6E9_HUMAN Leucine-rich repeat-containing protein 7 OS=Homo sapiens OX=9606 GN=LRRC7 PE=1 SV=1;sp|Q96NW7|LRRC7_HUMAN Leucine-rich repeat-containing protein 7 OS=Homo sapiens OX=9606 GN=LRRC7 PE=1 SV=1,21,170300,146010,121990,164710,155330,181910,130760,125850,121210,263030,182390,213840,228270,211760,208800,177240,192370,192120
A0A075B6F9,,NOSIP,tr|A0A075B6F9|A0A075B6F9_HUMAN Nitric oxide synthase-interacting protein OS=Homo sapiens OX=9606 GN=NOSIP PE=1 SV=1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A087WV90,Dystrophin,DMD,tr|A0A087WV90|A0A087WV90_HUMAN Dystrophin OS=Homo sapiens OX=9606 GN=DMD PE=1 SV=1;tr|E9PDN5|E9PDN5_HUMAN Dystrophin OS=Homo sapiens OX=9606 GN=DMD PE=1 SV=1;tr|A0A087WTU7|A0A087WTU7_HUMAN Dystrophin OS=Homo sapiens OX=9606 GN=DMD PE=1 SV=1;tr|A0A075B6G3|A,23,0,0,0,0,0,0,0,0,0,78287,52847,64924,45726,32887,29907,49471,41846,45260
A0A075B6H3,Transmembrane and coiled-coil domain-containing protein 4,TMCO4,tr|A0A075B6H3|A0A075B6H3_HUMAN Transmembrane and coiled-coil domain-containing protein 4 OS=Homo sapiens OX=9606 GN=TMCO4 PE=1 SV=1;sp|Q5TGY1|TMCO4_HUMAN Transmembrane and coiled-coil domain-containing protein 4 OS=Homo sapiens OX=9606 GN=TMCO4 PE=2 SV=1,24,90617,83348,129980,99628,124790,110080,127130,106600,124150,66219,44236,48776,100040,95491,99410,50569,60900,62537
A0A075B6H4,Cysteine-rich protein 2-binding protein,CSRP2BP,tr|A0A075B6H4|A0A075B6H4_HUMAN Cysteine-rich protein 2-binding protein OS=Homo sapiens OX=9606 GN=KAT14 PE=1 SV=1;sp|Q9H8E8|CSR2B_HUMAN Cysteine-rich protein 2-binding protein OS=Homo sapiens OX=9606 GN=KAT14 PE=1 SV=3,25,0,0,0,0,0,0,0,0,0,35417,22238,30301,30378,33425,27128,19327,21730,23197
A0A075B6Q3,BCL-6 corepressor-like protein 1,BCORL1,tr|A0A075B6Q3|A0A075B6Q3_HUMAN BCL-6 corepressor-like protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=BCORL1 PE=1 SV=1;tr|H7C4B2|H7C4B2_HUMAN BCL-6 corepressor-like protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=BCORL1 PE=1 SV=1;sp|Q5H9F3|BCORL_HUMAN BCL-,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q9C0C7,Activating molecule in BECN1-regulated autophagy protein 1,AMBRA1,sp|Q9C0C7|AMRA1_HUMAN Activating molecule in BECN1-regulated autophagy protein 1 OS=Homo sapiens OX=9606 GN=AMBRA1 PE=1 SV=2;tr|A0A075B6T1|A0A075B6T1_HUMAN Activating molecule in BECN1-regulated autophagy protein 1 OS=Homo sapiens OX=9606 GN=AMBRA1 PE=1 SV,28,80682,73338,67709,108760,88643,98686,130970,116980,110460,34348,23029,26468,37298,33867,37522,36871,37438,42271
A0A075B730,,EPPK1,tr|A0A075B730|A0A075B730_HUMAN Epiplakin OS=Homo sapiens OX=9606 GN=EPPK1 PE=1 SV=2,29,4630900,4048400,3993300,428350,414140,406910,8086500,7153400,7101100,7725200,5492800,6316500,485670,459140,377880,9660900,9386200,9979500
A0A087WVF8,Myomegalin,PDE4DIP,tr|A0A087WVF8|A0A087WVF8_HUMAN Myomegalin OS=Homo sapiens OX=9606 GN=PDE4DIP PE=1 SV=1;tr|A0A0A0MRM1|A0A0A0MRM1_HUMAN Myomegalin OS=Homo sapiens OX=9606 GN=PDE4DIP PE=1 SV=1;tr|A0A087WX83|A0A087WX83_HUMAN Myomegalin OS=Homo sapiens OX=9606 GN=PDE4DIP PE=1 ,30,215010,217290,181480,100980,104140,127000,94957,90506,101240,710370,516560,587280,307270,306720,328440,271880,267010,284370
H0YL34,Synemin,SYNM,"tr|H0YL34|H0YL34_HUMAN Synemin OS=Homo sapiens OX=9606 GN=SYNM PE=1 SV=1;tr|A0A075B7B1|A0A075B7B1_HUMAN Desmuslin, isoform CRA_a OS=Homo sapiens OX=9606 GN=SYNM PE=1 SV=1;sp|O15061|SYNEM_HUMAN Synemin OS=Homo sapiens OX=9606 GN=SYNM PE=1 SV=2",32,152450,78509,125370,97751,39647,68623,54039,60673,38590,187170,118040,185230,97826,21462,66610,51868,63659,57833
V9GY97,Amyloid beta A4 precursor protein-binding family B member 1,APBB1,tr|V9GY97|V9GY97_HUMAN Amyloid-beta A4 precursor protein-binding family B member 1 (Fragment) OS=Homo sapiens OX=9606 GN=APBB1 PE=1 SV=8;tr|A0A087X0V7|A0A087X0V7_HUMAN Amyloid-beta A4 precursor protein-binding family B member 1 OS=Homo sapiens OX=9606 GN=A,33,0,0,0,0,0,0,0,0,0,5515.9,4462.5,5127.3,25148,33556,27801,24756,22723,20164
A0A087WSV0,Bcl-2-like protein 12,BCL2L12,tr|A0A087WSV0|A0A087WSV0_HUMAN Bcl-2-like protein 12 OS=Homo sapiens OX=9606 GN=BCL2L12 PE=1 SV=1;sp|Q9HB09|B2L12_HUMAN Bcl-2-like protein 12 OS=Homo sapiens OX=9606 GN=BCL2L12 PE=1 SV=1;tr|I6LJZ7|I6LJZ7_HUMAN BCL2L12 protein isoform 5 OS=Homo sapiens OX=9,34,665530,607250,550070,700750,659070,687740,1193600,1019000,1064500,508570,355180,440820,524190,486070,513820,770540,741950,802330
A0A087WSV8,Nucleobindin-2;Nesfatin-1,NUCB2;Nucb2,"tr|A0A087WSV8|A0A087WSV8_HUMAN Nucleobindin 2, isoform CRA_b OS=Homo sapiens OX=9606 GN=NUCB2 PE=1 SV=1;sp|P80303|NUCB2_HUMAN Nucleobindin-2 OS=Homo sapiens OX=9606 GN=NUCB2 PE=1 SV=3;tr|E9PKG6|E9PKG6_HUMAN Nucleobindin-2 OS=Homo sapiens OX=9606 GN=NUCB2 P",35,2987700,2711500,2532700,4501800,4051400,4395100,1987000,1827300,1898000,5131200,3911400,4429500,7019600,6874300,6685800,3022300,2984500,3294700
A0A087WSW9,"Thioredoxin reductase 1, cytoplasmic",TXNRD1,"tr|A0A087WSW9|A0A087WSW9_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=1;tr|A0A087WSY9|A0A087WSY9_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=2;sp|Q16881|TRXR1_HUMAN Thioredoxi",36,20998000,18968000,17736000,16505000,14511000,16112000,6538600,6161700,5979600,18227000,13592000,15101000,12623000,11543000,11540000,4858000,5057200,5449200
A0A087WSZ7,"cAMP-specific 3,5-cyclic phosphodiesterase 4D",PDE4D,"tr|A0A087WSZ7|A0A087WSZ7_HUMAN Phosphodiesterase OS=Homo sapiens OX=9606 GN=PDE4D PE=1 SV=1;tr|A0A1B0GW84|A0A1B0GW84_HUMAN Phosphodiesterase OS=Homo sapiens OX=9606 GN=PDE4D PE=1 SV=1;sp|Q08499|PDE4D_HUMAN cAMP-specific 3,5-cyclic phosphodiesterase 4D OS",37,0,0,0,0,0,0,0,0,0,105030,83808,88470,16407,18885,20410,871.3,1392.2,1892.5
A0A087WT00,CD302 antigen,CD302,tr|A0A087WT00|A0A087WT00_HUMAN CD302 antigen OS=Homo sapiens OX=9606 GN=CD302 PE=4 SV=1;sp|Q8IX05|CD302_HUMAN CD302 antigen OS=Homo sapiens OX=9606 GN=CD302 PE=1 SV=1,38,1832.9,0,0,8377.6,8438.1,10298,1776.2,2503.4,1556.2,0,0,0,0,0,0,0,0,0
A0A087X2I2,"Glutathione peroxidase;Phospholipid hydroperoxide glutathione peroxidase, mitochondrial",GPX4,tr|A0A087X2I2|A0A087X2I2_HUMAN Glutathione peroxidase OS=Homo sapiens OX=9606 GN=GPX4 PE=1 SV=1;tr|A0A087WT12|A0A087WT12_HUMAN Glutathione peroxidase OS=Homo sapiens OX=9606 GN=GPX4 PE=1 SV=1;sp|P36969|GPX4_HUMAN Phospholipid hydroperoxide glutathione pero,39,4876000,5153500,4323200,4561500,4101400,4438300,869170,970160,834330,5279700,4083400,4495200,4849800,4434300,4308000,790860,1078000,1050400
A0A087WT20,DDB1- and CUL4-associated factor 13,DCAF13,tr|A0A087WT20|A0A087WT20_HUMAN DDB1- and CUL4-associated factor 13 OS=Homo sapiens OX=9606 GN=DCAF13 PE=1 SV=1;sp|Q9NV06|DCA13_HUMAN DDB1- and CUL4-associated factor 13 OS=Homo sapiens OX=9606 GN=DCAF13 PE=1 SV=2;tr|B3KME9|B3KME9_HUMAN DDB1- and CUL4-assoc,40,893820,880040,705510,530450,520870,539070,727940,610600,550230,1068300,799060,881930,611370,585850,592770,532020,558470,581590
A0A087WV67,UBX domain-containing protein 8,UBXN8,tr|A0A087WV67|A0A087WV67_HUMAN UBX domain-containing protein 8 OS=Homo sapiens OX=9606 GN=UBXN8 PE=1 SV=1;tr|A0A087WT23|A0A087WT23_HUMAN UBX domain-containing protein 8 OS=Homo sapiens OX=9606 GN=UBXN8 PE=1 SV=1;sp|O00124|UBXN8_HUMAN UBX domain-containing ,41,137480,124310,122440,62483,56738,59161,16794,12638,16419,31687,21153,24393,11938,10191,11257,4326.8,3493.9,5041.5
Q5VVW5,"Solute carrier family 2, facilitated glucose transporter member 8",SLC2A8,"tr|Q5VVW5|Q5VVW5_HUMAN Solute carrier family 2, facilitated glucose transporter member 8 OS=Homo sapiens OX=9606 GN=SLC2A8 PE=1 SV=1;tr|A0A087WT42|A0A087WT42_HUMAN Solute carrier family 2, (Facilitated glucose transporter) member 8, isoform CRA_c OS=Homo s",42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A087WT84,JmjC domain-containing protein 4,JMJD4,tr|A0A087WT84|A0A087WT84_HUMAN JmjC domain-containing protein 4 OS=Homo sapiens OX=9606 GN=JMJD4 PE=1 SV=1;sp|Q9H9V9|JMJD4_HUMAN 2-oxoglutarate and iron-dependent oxygenase JMJD4 OS=Homo sapiens OX=9606 GN=JMJD4 PE=1 SV=2,45,13161,12106,11056,12310,10056,11257,13493,11031,12393,14919,9249.8,9992.1,8797.3,8095.3,7306.2,8195.8,8086.4,9235.3
A0A087X0U3,Amino acid transporter;Excitatory amino acid transporter 1,SLC1A3,tr|A0A087X0U3|A0A087X0U3_HUMAN Amino acid transporter OS=Homo sapiens OX=9606 GN=SLC1A3 PE=1 SV=1;tr|A0A087WT87|A0A087WT87_HUMAN Amino acid transporter OS=Homo sapiens OX=9606 GN=SLC1A3 PE=1 SV=1;sp|P43003|EAA1_HUMAN Excitatory amino acid transporter 1 OS=,46,4575.1,4432,3337.7,5518.2,4705.8,5260,57807,45877,46476,0,0,0,0,0,0,0,0,0
E9PQS1,Ester hydrolase C11orf54,C11orf54,tr|E9PQS1|E9PQS1_HUMAN Ester hydrolase C11orf54 (Fragment) OS=Homo sapiens OX=9606 GN=C11orf54 PE=1 SV=1;tr|A0A087WT99|A0A087WT99_HUMAN Ester hydrolase C11orf54 OS=Homo sapiens OX=9606 GN=C11orf54 PE=1 SV=1;sp|Q9H0W9|CK054_HUMAN Ester hydrolase C11orf54 OS,47,28640,36494,26399,71216,64571,69114,146710,174610,167940,49045,28761,51403,109710,111230,95377,218860,210330,211480
A0A087WTA5,,EIF2B4,tr|A0A087WTA5|A0A087WTA5_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=1,48,95559,115680,90701,110450,106840,111480,76196,103530,113960,87627,48996,64574,117970,113170,80057,70723,63187,64364
A0A087WTF0,Protein tyrosine phosphatase domain-containing protein 1,PTPDC1,tr|A0A087WTF0|A0A087WTF0_HUMAN Protein tyrosine phosphatase domain-containing protein 1 OS=Homo sapiens OX=9606 GN=PTPDC1 PE=1 SV=1;sp|A2A3K4|PTPC1_HUMAN Protein tyrosine phosphatase domain-containing protein 1 OS=Homo sapiens OX=9606 GN=PTPDC1 PE=1 SV=1,49,15751,12104,10456,21251,16404,19605,10821,7903.4,8279.6,0,0,0,0,0,0,0,0,0
A0A087WX12,Centrosomal protein kizuna,KIZ,tr|A0A087WX12|A0A087WX12_HUMAN Centrosomal protein kizuna (Fragment) OS=Homo sapiens OX=9606 GN=KIZ PE=1 SV=1;tr|A0A087X032|A0A087X032_HUMAN Centrosomal protein kizuna (Fragment) OS=Homo sapiens OX=9606 GN=KIZ PE=1 SV=1;tr|A0A087WTH3|A0A087WTH3_HUMAN Centr,50,0,0,0,0,0,0,0,0,0,4979,4503.1,5340.8,5397.5,6988.9,5902.1,13172,9535,8025.2
A0A087WTM1,Roundabout homolog 1,ROBO1,tr|A0A087WTM1|A0A087WTM1_HUMAN Roundabout homolog 1 OS=Homo sapiens OX=9606 GN=ROBO1 PE=1 SV=1;sp|Q9Y6N7|ROBO1_HUMAN Roundabout homolog 1 OS=Homo sapiens OX=9606 GN=ROBO1 PE=1 SV=1;tr|A0A087WZ85|A0A087WZ85_HUMAN Roundabout homolog 1 OS=Homo sapiens OX=9606,52,38571,32532,29962,17286,18526,13376,11118,12075,12879,18268,13003,16594,9421.8,7695,7400.4,895.22,723.76,923.32
A0A087WTM5,E3 ubiquitin-protein ligase RNF34,RNF34,tr|A0A087WTM5|A0A087WTM5_HUMAN E3 ubiquitin-protein ligase RNF34 OS=Homo sapiens OX=9606 GN=RNF34 PE=1 SV=1;tr|H7BYJ1|H7BYJ1_HUMAN E3 ubiquitin-protein ligase RNF34 OS=Homo sapiens OX=9606 GN=RNF34 PE=1 SV=1;sp|Q969K3|RNF34_HUMAN E3 ubiquitin-protein ligas,53,0,0,0,0,0,0,0,0,0,7484.2,3720.6,5949.7,12264,10021,7111.2,5114.4,6874.2,5274.1
A0A087WV20,Alstrom syndrome protein 1,ALMS1,tr|A0A087WV20|A0A087WV20_HUMAN Alstrom syndrome protein 1 OS=Homo sapiens OX=9606 GN=ALMS1 PE=1 SV=1;tr|A0A087WTU9|A0A087WTU9_HUMAN Alstrom syndrome protein 1 OS=Homo sapiens OX=9606 GN=ALMS1 PE=1 SV=1;sp|Q8TCU4|ALMS1_HUMAN Alstrom syndrome protein 1 OS=Ho,55,824880,706690,592550,469850,435070,477090,692540,575940,758050,639310,416720,639200,648110,509530,595780,560370,451040,671130
A0A087WVR3,E3 ubiquitin-protein ligase UHRF1,UHRF1,tr|A0A087WVR3|A0A087WVR3_HUMAN E3 ubiquitin-protein ligase UHRF1 OS=Homo sapiens OX=9606 GN=UHRF1 PE=1 SV=1;tr|A0A087WTW0|A0A087WTW0_HUMAN E3 ubiquitin-protein ligase UHRF1 OS=Homo sapiens OX=9606 GN=UHRF1 PE=1 SV=1;sp|Q96T88|UHRF1_HUMAN E3 ubiquitin-prote,56,2107300,2196400,1870300,2534100,2309900,2542900,928750,931900,960770,3574500,2752900,2828100,3713900,3493500,3311100,1302600,1402400,1434500
Q9UKL3,CASP8-associated protein 2,CASP8AP2,sp|Q9UKL3|C8AP2_HUMAN CASP8-associated protein 2 OS=Homo sapiens OX=9606 GN=CASP8AP2 PE=1 SV=1;tr|A0A087WTW5|A0A087WTW5_HUMAN CASP8-associated protein 2 OS=Homo sapiens OX=9606 GN=CASP8AP2 PE=1 SV=1,57,2337.5,3245.6,2386.7,2033.1,2870.4,2974.6,1920.9,2179.9,2543.6,41735,28858,33217,38617,37064,37341,42141,40759,44301
F8W0R1,Endoplasmic reticulum-Golgi intermediate compartment protein 2,ERGIC2,tr|F8W0R1|F8W0R1_HUMAN Endoplasmic reticulum-Golgi intermediate compartment protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=ERGIC2 PE=1 SV=1;tr|F8VR88|F8VR88_HUMAN Endoplasmic reticulum-Golgi intermediate compartment protein 2 (Fragment) OS=Homo sapiens OX,58,1025200,872190,825180,672220,680040,708280,921620,793910,881630,966880,659160,790030,570670,593680,612270,792990,708620,753720
A0A087WU03,,HNRNPDL,tr|A0A087WU03|A0A087WU03_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
